ct, success, chisqr, redchi, aic, bic, nfev, nvarys, ndata, nfree, gammaD, S0, beta, theta, p, epsilonA, epsilonI, gammaA, cD, delta
Rio_Grande_do_Sul, True, 378126492.0145556, 5643678.985291874, 1206.3339111247878, 1229.7719653433246, 30, 10, 77, 67, 0.10228635923045953, 44837.90822689353, 9.818773630205927e-06, 0.15999888228314313, 0.053074668094252965, 0.02378482705747267, 0.10000474835412512, 0.10000010508840752, 1.4, 1.7327547960355183e-06
Piaui, True, 129060.42067969742, 2264.217906661358, 526.7440032212469, 548.7909294151565, 6498, 10, 67, 57, 0.10009742587717939, 131263.56045916813, 9.999750871324096e-06, 0.15991521332350483, 0.0017796037998509704, 0.014191736599828964, 0.10000000730678728, 0.10000000007037403, 1.4, 0.005773042577024268
Sergipe, True, 98681375.4513722, 1591635.0879253582, 1037.413328169021, 1060.1799893591817, 25, 10, 72, 62, 0.1480619774224351, 26566.166426200572, 3.898049523289372e-06, 0.1599403649236855, 0.029293269253722973, 0.0038511179217000646, 0.2793416104015442, 0.14125254904713377, 1.4, 0.13460693756133607
Amapa, True, 691077.2245240718, 12124.161833755645, 639.1680537280452, 661.2149799219549, 246, 10, 67, 57, 0.12933751146295638, 395286.1837535733, 6.350208276272948e-06, 0.13429241800768382, 0.004905528254717073, 0.19999999633413892, 0.20656228707875807, 0.14205183500575916, 1.4, 0.0004596829704920924
Alagoas, True, 55222740.79439664, 800329.5767303861, 1083.1375660436688, 1106.832044568339, 27, 10, 79, 69, 0.10113152887515238, 251343.68069642465, 9.907109168598142e-06, 0.13068068960789445, 0.024043706343758176, 0.0253580795905499, 0.10198893158752964, 0.14076368318811386, 1.4, 0.00028381466338761596
Santa_Catarina, True, 16495867.071394956, 257747.92299054618, 931.2770946989531, 954.3177456309948, 27, 10, 74, 64, 0.13756602687032224, 2098931.9588639457, 1.2594169441802272e-06, 0.15232977723896055, 0.030336394124673524, 0.17019790664456957, 0.39220562948263005, 0.1485172165769275, 1.4, 7.048114045710152e-05
Bolivia, True, 105971.66738979799, 1630.3333444584307, 564.0079201290794, 587.1828012644424, 219, 10, 75, 65, 0.10302102698162573, 354832.6957832979, 5.895019458189396e-06, 0.11613291139876426, 0.0015025807702181058, 0.19329271612797477, 0.1160632670246761, 0.10011725688066468, 1.4, 0.0004158193684406508
Ghana, True, 5694589.905403547, 88977.96727193042, 852.5711916614978, 875.6118425935394, 749, 10, 74, 64, 0.14992364857545343, 1765058.9576072197, 1.4549525032865292e-06, 0.15234225104966767, 0.03342388853895213, 0.018331160789718092, 0.10001790251528057, 0.1362523718434208, 1.4, 0.00012669609825560757
Iraq, True, 2853889.573133895, 35673.61966417369, 952.7945342578223, 977.7926309611249, 2910, 10, 90, 80, 0.10000021127003376, 36264.07170703697, 9.999999378752352e-06, 0.15999562641322385, 0.01142667894829353, 0.11861155540273985, 0.10041101767795625, 0.10000003336537353, 1.4, 0.0071883162940851175
Distrito_Federal, True, 6236178.601826718, 48342.46978160246, 1508.8851860331542, 1538.2299253644612, 465, 10, 139, 129, 0.11470739254722949, 855286.8731212805, 1.7601791922179596e-06, 0.15985901255471893, 0.0030497223777850887, 0.19933839945279264, 0.10091797204867817, 0.10001796302903805, 1.4, 2.613021422243067e-05
Australia, True, 1438800203.0603435, 12732745.15982605, 2021.8115998320413, 2049.9334433857657, 30, 10, 123, 113, 0.11857995298434636, 1508817.7154746188, 1.5442018979024976e-07, 0.1297660869862224, 0.15011323325794476, 0.010953559221446807, 0.20004003452649644, 0.13821986994348964, 1.4, 0.00010000850513458559
Cameroon, True, 1683266.428315945, 25896.406589476075, 771.4068989526772, 794.5817800880403, 4905, 10, 75, 65, 0.10000363088066655, 4112630.056935647, 8.644545162350103e-06, 0.10000018223784263, 0.266343392669561, 3.970084761828474e-07, 0.3999983815959999, 0.1499999671031048, 1.4, 9.281092476942643e-06
Morocco, True, 1214894855.6565192, 17866100.818478223, 1311.7747344905272, 1335.3418227574232, 20, 10, 78, 68, 0.1427101637167482, 9038.4, 3.779779179204003e-06, 0.12108565710674919, 0.06947785507497559, 0.12558915873072124, 0.24804281066449738, 0.1350334422500745, 1.4, 9.966187655180425e-05
Moldova, True, 659933.2188716128, 9704.900277523717, 725.3684376959293, 748.9355259628252, 911, 10, 78, 68, 0.10000137318077412, 1069957.3442456336, 5.3165829595787824e-06, 0.1105651205655852, 0.10454015748180594, 0.025149649989991796, 0.10000077147007284, 0.14661827450091422, 1.4, 0.0002567395055178001
Finland, True, 1167998.8215112523, 11230.757899146656, 1072.7448542894542, 1100.1068387733992, 2447, 10, 114, 104, 0.13124973316413185, 131857.27637220884, 9.999967426014942e-06, 0.1599999874649131, 0.0012409225113565341, 0.000279914813667026, 0.10000008080424715, 0.10001647885479938, 1.4, 0.007828334287899363
Norway, True, 235243911.10105988, 2940548.8887632485, 1349.8691404781935, 1374.8672371814962, 28, 10, 90, 80, 0.10000026058508382, 1190638.3672572891, 7.731507261727212e-06, 0.10848384242599786, 0.15803302116209472, 0.16665382325084868, 0.20326258111374199, 0.12409125698560422, 1.4, 0.00010073232949259214
Malaysia, True, 26247062.665404435, 234348.77379825388, 1518.0433189007056, 1546.0835293480382, 1220, 10, 122, 112, 0.14954926479215092, 2319454.912667846, 1.6534190539522138e-06, 0.13168887623947362, 0.03985886859409788, 4.907575568147138e-10, 0.10037548265085393, 0.14999839711959448, 1.4, 7.104351256104202e-05
